2026-06-29 15:53:36.828 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 6
2026-06-29 15:53:36.828 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 7
2026-06-29 15:53:36.828 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 8
2026-06-29 15:53:36.828 [main] INFO  rogue.model.domain.entities.passages.Passages - Начало генерации проходов
2026-06-29 15:53:43.849 [main] INFO  rogue.model.domain.entities.characters.Player - Поднят предмет Неразборчивая, но приятная похвала
2026-06-29 15:53:49.143 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 99 при шансах 65/100
2026-06-29 15:53:49.183 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:53:49.183 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 20 при шансах 35/100
2026-06-29 15:53:49.183 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана сила удара 42
2026-06-29 15:53:49.183 [main] INFO  rogue.model.domain.entities.characters.Player - Удар нанесён. Здоровье монстра составляет 88.0
2026-06-29 15:53:49.183 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 86 при шансах 65/100
2026-06-29 15:53:49.223 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:53:49.223 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 7 при шансах 35/100
2026-06-29 15:53:49.224 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана сила удара 75
2026-06-29 15:53:49.224 [main] INFO  rogue.model.domain.entities.characters.Player - Удар нанесён. Здоровье монстра составляет 13.0
2026-06-29 15:53:49.224 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 54 при шансах 65/100
2026-06-29 15:53:49.304 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:53:49.304 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 68 при шансах 35/100
2026-06-29 15:53:49.304 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана вероятность удара и удар пропущен
2026-06-29 15:53:49.304 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 25 при шансах 65/100
2026-06-29 15:53:49.343 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:53:49.343 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 85 при шансах 35/100
2026-06-29 15:53:49.344 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана вероятность удара и удар пропущен
2026-06-29 15:53:49.344 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 11 при шансах 65/100
2026-06-29 15:53:49.384 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:53:49.384 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 72 при шансах 35/100
2026-06-29 15:53:49.384 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана вероятность удара и удар пропущен
2026-06-29 15:53:49.384 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 40 при шансах 65/100
2026-06-29 15:53:49.424 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:53:49.424 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 94 при шансах 35/100
2026-06-29 15:53:49.424 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана вероятность удара и удар пропущен
2026-06-29 15:53:49.424 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 97 при шансах 65/100
2026-06-29 15:53:49.651 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:53:49.651 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 74 при шансах 35/100
